,T Crawl [F],Crawl Water Content [lb],Crawl Dry Bulb F,Crawl DP F,DB C,DP C,RH_crawl [%],Incoming Water [lb/hr],Outgoing Water [lb/hr],Condensation per SF [lb],Step
57,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.35321620252938,0.14519360310495052,9.647886287927948e-05,57
58,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3244906133026399,0.09982518258623249,8.213623613799302e-05,58
59,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34905369702145755,0.042453983486323565,7.578545886716038e-05,59
60,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3513287317702618,0.00744482110104987,6.944900365298676e-05,60
61,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.35367537474947736,-0.034064773041899685,6.186809944010322e-05,61
62,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3662269300565439,-0.08404375820740832,5.462314592511371e-05,62
63,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36671971795603964,-0.08426434549929132,5.467583671250044e-05,63
64,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36671971795603964,-0.08426434549929132,5.467583671250044e-05,64
65,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3267626196866843,0.007145141655169532,6.463564873052445e-05,65
66,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3478999920579737,0.006997115972458529,6.869862718359758e-05,66
67,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3682636013178946,0.04220582278295522,7.945594736756965e-05,67
68,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3890617009143326,0.04207847715885836,8.345725475671487e-05,68
69,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.37012609043322786,0.0726145791467223,8.570280092527582e-05,69
70,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.381497733015814,0.14491351529354654,0.00010189919634327344,70
71,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3598764765971976,0.14491351529354654,9.771389699782119e-05,71
72,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36537682763445184,0.16440719159761144,0.00010255207495781188,72
73,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36481067856966765,0.16446233842058217,0.00010245315853470486,73
74,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36481067856966765,0.16446233842058217,0.00010245315853470486,74
75,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36481067856966765,0.16446233842058217,0.00010245315853470486,75
76,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.35934086136471705,0.14496140595560006,9.761948651186358e-05,76
77,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3270886832501675,0.12354593543261376,8.723085921076284e-05,77
78,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3270886832501675,0.12354593543261376,8.723085921076284e-05,78
79,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3587944750195358,0.14502090647512106,9.752523838456556e-05,79
80,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3803757032919297,0.14502090647512106,0.00010170278934708568,80
81,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3765496163059909,0.12347301101539596,9.679106219927203e-05,81
82,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3714330003685526,0.09965538842076992,9.119016430300584e-05,82
83,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.31835229793808745,0.07292441721788699,7.574075012698871e-05,83
84,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34642513971009326,0.00744482110104987,6.849979884071153e-05,84
85,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34544102797498044,0.007743774930838775,6.836717051989975e-05,85
86,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3503355879659288,0.007743774930838775,6.931462696413555e-05,86
87,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3293949980585932,0.007896154310099934,6.529058311433768e-05,87
88,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3293949980585932,0.007896154310099934,6.529058311433768e-05,88
89,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34704595305687913,0.04294849085283102,7.54925365678846e-05,89
90,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34627945441345725,0.07343597656254962,8.124572802478014e-05,90
91,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3430227385066141,0.07343597656254962,8.061531457011206e-05,91
92,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3690001365821844,0.1001560635240569,9.081614403914707e-05,92
