,T Crawl [F],HR Crawl [lb/lb],RH_crawl [%]
362,46.64,0.0032436808077964123,40.40363065755669
363,46.64,0.0032406874778241443,40.36653869358823
364,46.64,0.0032374502471541637,40.3264240249251
365,46.64,0.003234314657025108,40.28756845542905
366,46.64,0.003231178483910108,40.24870527182321
367,46.64,0.0032277212604960226,40.20586320909327
368,46.64,0.0032249672498095004,40.171735049961825
369,46.64,0.003222203001758645,40.13747972534241
370,46.64,0.0032204588749865674,40.11586586923732
371,46.64,0.003218770696237001,40.09494522660657
372,46.64,0.0032173249294006417,40.07702856763666
373,46.64,0.003216287091793998,40.06416711870296
374,46.64,0.003215749188841512,40.057501115517105
375,46.64,0.003215212182992015,40.05084621830567
376,46.64,0.003214444202298507,40.04132892301169
377,46.64,0.00321347608048214,40.02933132089442
378,46.64,0.003212442402964474,40.01652126840325
379,46.64,0.003211698738988734,40.00730523972311
380,46.64,0.003211514885521207,40.00502678951058
381,46.64,0.003210598755373024,39.993673396878435
382,46.64,0.0032093395190701804,39.978067913378666
383,46.64,0.003207659439896735,39.95724690382466
384,46.64,0.0032060541583171344,39.93735274687945
385,46.64,0.003204018676742885,39.9121270006657
386,46.64,0.0032017859993362114,39.88445721535348
387,46.64,0.003199750045688771,39.85922527417557
388,46.64,0.0031976187225802124,39.832811225967404
389,46.64,0.003195398342250783,39.80529327662723
390,46.64,0.0031933238220962328,39.77958284676788
391,46.64,0.0031910156340117287,39.75097626814701
392,46.64,0.0031891468145955615,39.72781485979942
393,46.64,0.0031876691361761482,39.709501000151846
394,46.64,0.0031864725531312653,39.6946708805539
395,46.64,0.0031853234840364696,39.68042958228661
396,46.64,0.0031839848595269595,39.66383891175324
397,46.64,0.0031828583241878235,39.64987678105416
398,46.64,0.003181151756800578,39.62872571364747
399,46.64,0.0031793508434846914,39.60640520468489
400,46.64,0.003177600111612946,39.58470652096279
401,46.64,0.003176016120092838,39.565074323184
402,46.64,0.0031741583851140126,39.542049186456275
403,46.64,0.0031727244860949183,39.52427706331006
404,46.64,0.003171161831226304,39.504909013317345
405,46.64,0.0031696844008718764,39.48659717447086
406,46.64,0.003168427188749766,39.471014736747684
407,46.64,0.0031675015383463307,39.45954178013296
408,46.64,0.0031669247382796225,39.45239262531005
409,46.64,0.003166679181503049,39.44934906511593
410,46.64,0.0031665563323144074,39.44782640658456
411,46.64,0.003166189468517956,39.443279296967425
412,46.64,0.003165754380251852,39.4378865692131
413,46.64,0.00316527457906398,39.43193963574959
414,46.64,0.0031651021639791973,39.429802621225605
415,46.64,0.0031648285051557403,39.42641072951032
416,46.64,0.0031646797376219714,39.42456681415647
417,46.64,0.003164562592117768,39.42311484086468
418,46.64,0.003164468361591817,39.42194688948533
419,46.64,0.003164656635521767,39.42428047258781
420,46.64,0.003164586784190235,39.42341469230633
421,46.64,0.0031645826629538667,39.423363611166906
422,46.64,0.003165227599923957,39.43135734862237
423,46.64,0.0031657036975197184,39.437258378544854
424,46.64,0.0031662021780689232,39.44343682615055
425,46.64,0.00316702527189962,39.45363869132728
426,46.64,0.003168031332702083,39.4661083105259
427,46.64,0.003168884590590948,39.47668398277119
428,46.64,0.0031693467345476206,39.48241199630048
429,46.64,0.0031697083956265474,39.48689457536084
430,46.64,0.0031701996258403638,39.49298308030168
431,46.64,0.003170481001015355,39.49647055313544
432,46.64,0.003170594525215565,39.497877615126995
433,46.64,0.003170742115543431,39.49970690486023
434,46.64,0.00317066084792854,39.49869964374806
435,46.64,0.0031704287679527343,39.49582315657621
436,46.64,0.0031706830628701298,39.49897498404095
437,46.64,0.003170389425502871,39.49533553113121
438,46.64,0.003169964862194723,39.49007332640262
439,46.64,0.0031696343878093018,39.48597729186377
440,46.64,0.0031695451057747966,39.48487069311141
441,46.64,0.0031694051878253813,39.4831364910865
442,46.64,0.003169660614149168,39.486302351992315
443,46.64,0.0031691928810990396,39.480505070573855
444,46.64,0.0031694733147127592,39.483980884533544
445,46.64,0.0031697568264430374,39.487494846814165
446,46.64,0.003170143338793791,39.49228543648198
447,46.64,0.0031705846483465468,39.497755197486875
448,46.64,0.0031712506336599015,39.506009662003805
449,46.64,0.003171631962032677,39.5107359768124
450,46.64,0.0031721323741741923,39.516938247998254
451,46.64,0.0031727876738372298,39.5250602305939
